"","Animal","Estimator","Area","Period.1","Period.2","Period.3","Period.4","Period.5","Period.6","Period.7","Period.8","Period.9","Period.10","Period.11","Period.12","Period.13","Period.14","Period.15","Period.16","Period.17","Period.18","Period.19","Period.20","Period.21","Period.22","Period.23","Period.24","Period.25","Period.26","Year"
"129",45499,"AKDE","plan",12.2876406666039,30.2783594587748,9.52646570108359,8.44855784994123,3.13650718320202,12.5174617038076,53.9041442833792,3.18413600871778,5.57174276642467,5.54308678336548,4.33428473811575,13.2413896608346,7.03700002160614,19.9133133170702,32.0613055058841,2.03167812341033,12.049121066391,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"130",45499,"AKDE","surf",13.7943811274686,33.9438643753914,10.6524928925791,9.49034382453129,3.52144487985407,14.0536373978258,60.3473147126143,3.55084840321946,6.27328187676235,6.24986642411488,4.87475860603279,14.748907386216,7.75770153650269,22.1918935652127,35.7619744168378,2.24642928348143,13.4118033990197,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"131",45499,"BBMM","plan",5.87988305761469,2.98746524226305,4.45382683949898,7.05878944270989,3.10866222936097,3.83090914486318,10.2936224527938,3.19804054301952,2.96673535926234,3.37332440362699,3.2826247432104,3.35588140673472,6.06887011391875,4.49246103414478,6.26446652737703,1.77163770975915,1.74319679121891,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"132",45499,"BBMM","surf",6.62035045689114,3.400074220843,5.01320844533914,7.93570194801736,3.51074984499402,4.31165988481238,11.5830580594786,3.59099272428857,3.35497389874261,3.81358558055072,3.69615115878995,3.73570660169738,6.67707820423953,4.9923756450723,6.94944203412868,1.96357598360568,1.9393600091062,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"133",45500,"AKDE","plan",NA,NA,52.4125962733774,NA,3.90029538583434,9.52974938097942,11.263784258845,28.7767187387356,17.4566298702684,2.04002840126733,2.35784959560354,5.43405786309865,3.55200224730055,8.18961632843295,9.55688560796226,16.2104564274389,23.9691830629183,5.11858887558049,3.89209641830895,3.28498577807769,52.8840476187368,4.48286082256069,9.82436190071109,191.827180824462,3.56349243598326,NA,2021
"134",45500,"AKDE","surf",NA,NA,58.7002805557898,NA,4.3401893049163,10.6074792424761,12.5338213841804,32.1323054816423,19.4747801900598,2.28790022283051,2.6484754300186,6.05836470097913,3.96553290810207,9.10174833937898,10.6256582913976,0.176981794422804,0.263502435327031,5.68019591862184,4.31893583957972,3.66110393845443,59.1660101670614,4.99855201548607,10.9571730066994,214.195504838928,3.97013941159602,NA,2021
"135",45500,"BBMM","plan",NA,NA,4.42589414334326,NA,2.8754005038316,3.26494262426909,6.81938921568888,4.69274204158254,3.79490095709966,1.61824554329017,0.373538564302202,1.26212850171552,2.42688131196696,2.39212528768412,1.15942305387921,0.170546299617881,0.322211570772307,0.937494832384037,2.04986499484134,2.18737894376615,25.3771614683395,2.3832497904967,5.13086329669897,14.7087793299429,2.44962025038939,NA,2021
"136",45500,"BBMM","surf",NA,NA,4.97835889782783,NA,3.20907488760643,3.65317658832865,7.58445668033456,5.27988994391237,4.21791740300904,1.8193954759857,0.421168885866398,1.4210966492671,2.72017219552894,2.68712658977445,1.28706342931572,0.187097730686092,0.356957984554828,1.06003684652146,2.27637428387848,2.44751340757907,28.5501097786802,2.6733388041152,5.71812435115795,16.6705036371548,2.72831337101865,NA,2021
"137",45501,"AKDE","plan",5.62623680655126,26.3844963027846,43.2860172804547,24.0774857817921,26.467049199115,12.281448506393,3.39167186947775,6.38839491267102,45.1187504036245,2.18738560841134,5.46195903438608,9.12617047526603,8.57765357357614,28.1409826399497,89.0237813184597,6.88115208516687,6.10790913655785,7.3559400128844,35.4178082037276,29.1018579325015,12.8658705176305,6.44131970206906,2.43585383098314,22.5100342600179,106.879381927342,48.5340260073278,2021
"138",45501,"AKDE","surf",6.3417120847317,29.714083416192,48.7458211221988,27.1544068249255,29.5232593884155,13.7530987096742,3.83114651225878,7.12600279355161,50.4234447655221,2.3807946538995,5.89877631920448,10.0662303490325,9.33934821963721,31.3817017042471,99.6083666292324,7.6303961687788,6.91115386428922,8.25657095588519,39.9448978332092,32.8046462191837,14.4517548938956,7.16738492946801,2.69014864719898,25.0047734310844,119.528150559304,54.3572192368924,2021
